car_ID,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
19,chevrolet impala,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,2.91,3.03,9.5,48,5100,47,53,5151
20,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,3.03,3.11,9.6,70,5400,38,43,6295
21,chevrolet vega 2300,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,3.03,3.11,9.6,70,5400,38,43,6575
22,dodge rampage,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,2.97,3.23,9.41,68,5500,37,41,5572
23,dodge challenger se,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,2.97,3.23,9.4,68,5500,31,38,6377
24,dodge d200,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,3.03,3.39,7.6,102,5500,24,30,7957
25,dodge monaco (sw),gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,2.97,3.23,9.4,68,5500,31,38,6229
26,dodge colt hardtop,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,2.97,3.23,9.4,68,5500,31,38,6692
27,dodge colt (sw),gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,2.97,3.23,9.4,68,5500,31,38,7609
28,dodge coronet custom,gas,turbo,two,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,3.03,3.39,7.6,102,5500,24,30,8558
29,dodge dart custom,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,3.34,3.46,8.5,88,5000,24,30,8921
30,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,3.6,3.9,7,145,5000,19,24,12964
31,honda civic,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,2.91,3.41,9.6,58,4800,49,54,6479
32,honda civic cvcc,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,2.91,3.41,9.2,76,6000,31,38,6855
33,honda civic,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,2.91,3.07,10.1,60,5500,38,42,5399
34,honda accord cvcc,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,2.91,3.41,9.2,76,6000,30,34,6529
35,honda civic cvcc,gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,four,2.91,3.41,9.2,76,6000,30,34,7129
36,honda accord lx,gas,std,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,2.91,3.41,9.2,76,6000,30,34,7295
37,honda civic 1500 gl,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,2.92,3.41,9.2,76,6000,30,34,7295
38,honda accord,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,3.15,3.58,9,86,5800,27,33,7895
39,honda civic 1300,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,3.15,3.58,9,86,5800,27,33,9095
40,honda prelude,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,3.15,3.58,9,86,5800,27,33,8845
41,honda accord,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,3.15,3.58,9,86,5800,27,33,10295
42,honda civic,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,3.15,3.58,9,101,5800,24,28,12945
43,honda civic (auto),gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,four,3.15,3.58,9.1,100,5500,25,31,10345
44,isuzu MU-X,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,3.31,3.23,8.5,78,4800,24,29,6785
45,isuzu D-Max ,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,3.03,3.11,9.6,70,5400,38,43,8916.5
46,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,3.03,3.11,9.6,70,5400,38,43,8916.5
47,isuzu D-Max ,gas,std,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,four,3.43,3.23,9.2,90,5000,24,29,11048
48,jaguar xj,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,3.63,4.17,8.1,176,4750,15,19,32250
49,jaguar xf,gas,std,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,3.63,4.17,8.1,176,4750,15,19,35550
50,jaguar xk,gas,std,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,twelve,3.54,2.76,11.5,262,5000,13,17,36000
51,maxda rx3,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,3.03,3.15,9,68,5000,30,31,5195
52,maxda glc deluxe,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,3.03,3.15,9,68,5000,31,38,6095
53,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,3.03,3.15,9,68,5000,31,38,6795
54,mazda rx-4,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,3.03,3.15,9,68,5000,31,38,6695
55,mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,3.08,3.15,9,68,5000,31,38,7395
56,mazda 626,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,3.33,3.255,9.4,101,6000,17,23,10945
57,mazda glc,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,3.33,3.255,9.4,101,6000,17,23,11845
58,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,two,3.33,3.255,9.4,101,6000,17,23,13645
59,mazda glc 4,gas,std,two,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,two,3.33,3.255,9.4,135,6000,16,23,15645
60,mazda 626,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,3.39,3.39,8.6,84,4800,26,32,8845
61,mazda glc custom l,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,3.39,3.39,8.6,84,4800,26,32,8495
62,mazda glc custom,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,3.39,3.39,8.6,84,4800,26,32,10595
63,mazda rx-4,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,3.39,3.39,8.6,84,4800,26,32,10245
64,mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,3.39,3.39,22.7,64,4650,36,42,10795
65,mazda 626,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,3.39,3.39,8.6,84,4800,26,32,11245
66,mazda glc,gas,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,3.76,3.16,8,120,5000,19,27,18280
67,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,3.43,3.64,22,72,4200,31,39,18344
68,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,3.58,3.64,21.5,123,4350,22,25,25552
69,buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,3.58,3.64,21.5,123,4350,22,25,28248
70,buick century,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,3.58,3.64,21.5,123,4350,22,25,28176
71,buick skyhawk,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,3.58,3.64,21.5,123,4350,22,25,31600
72,buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,3.46,3.1,8.3,155,4750,16,18,34184
73,buick skylark,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,3.46,3.1,8.3,155,4750,16,18,35056
74,buick century special,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,3.8,3.35,8,184,4500,14,16,40960
75,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,eight,3.8,3.35,8,184,4500,14,16,45400
76,mercury cougar,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,3.78,3.12,8,175,5000,19,24,16503
77,mitsubishi mirage,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,2.97,3.23,9.4,68,5500,37,41,5389
78,mitsubishi lancer,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,2.97,3.23,9.4,68,5500,31,38,6189
79,mitsubishi outlander,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,2.97,3.23,9.4,68,5500,31,38,6669
80,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,3.03,3.39,7.6,102,5500,24,30,7689
81,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,four,3.17,3.46,7.5,116,5500,23,30,9959
82,mitsubishi g4,gas,std,two,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,four,3.35,3.46,8.5,88,5000,25,32,8499
83,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,3.58,3.86,7,145,5000,19,24,12629
84,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,3.59,3.86,7,145,5000,19,24,14869
85,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,3.59,3.86,7,145,5000,19,24,14489
86,mitsubishi montero,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,3.35,3.46,8.5,88,5000,25,32,6989
87,mitsubishi pajero,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,3.35,3.46,8.5,88,5000,25,32,8189
88,mitsubishi outlander,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,3.17,3.46,7.5,116,5500,23,30,9279
89,mitsubishi mirage g4,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,3.17,3.46,7.5,116,5500,23,30,9279
90,Nissan versa,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,3.15,3.29,9.4,69,5200,31,37,5499
91,nissan gt-r,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,2.99,3.47,21.9,55,4800,45,50,7099
92,nissan rogue,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,3.15,3.29,9.4,69,5200,31,37,6649
93,nissan latio,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,3.15,3.29,9.4,69,5200,31,37,6849
94,nissan titan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,3.15,3.29,9.4,69,5200,31,37,7349
95,nissan leaf,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,3.15,3.29,9.4,69,5200,31,37,7299
96,nissan juke,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,3.15,3.29,9.4,69,5200,31,37,7799
97,nissan latio,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,3.15,3.29,9.4,69,5200,31,37,7499
98,nissan note,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,3.15,3.29,9.4,69,5200,31,37,7999
99,nissan clipper,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,3.15,3.29,9.4,69,5200,31,37,8249
100,nissan rogue,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,3.33,3.47,8.5,97,5200,27,34,8949
101,nissan nv200,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,3.33,3.47,8.5,97,5200,27,34,9549
102,nissan dayz,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,3.43,3.27,9,152,5200,17,22,13499
103,nissan fuga,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,3.43,3.27,9,152,5200,17,22,14399
104,nissan otti,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,3.43,3.27,9,152,5200,19,25,13499
105,nissan teana,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,3.43,3.27,9,160,5200,19,25,17199
106,nissan kicks,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,3.43,3.27,7.8,200,5200,17,23,19699
107,nissan clipper,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,3.43,3.27,9,160,5200,19,25,18399
108,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,3.46,3.19,8.4,97,5000,19,24,11900
109,peugeot 304,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,3.7,3.52,21,95,4150,28,33,13200
110,peugeot 504 (sw),gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,3.46,3.19,8.4,97,5000,19,24,12440
111,peugeot 504,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,3.7,3.52,21,95,4150,25,25,13860
112,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,3.46,2.19,8.4,95,5000,19,24,15580
113,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,3.7,3.52,21,95,4150,28,33,16900
114,peugeot 504,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,3.46,2.19,8.4,95,5000,19,24,16695
115,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,3.7,3.52,21,95,4150,25,25,17075
116,peugeot 504,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,3.46,3.19,8.4,97,5000,19,24,16630
117,peugeot 504,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,3.7,3.52,21,95,4150,28,33,17950
118,peugeot 604sl,gas,turbo,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,3.61,3.21,7,142,5600,18,24,18150
119,plymouth fury iii,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,2.97,3.23,9.4,68,5500,37,41,5572
120,plymouth cricket,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,3.03,3.39,7.6,102,5500,24,30,7957
121,plymouth fury iii,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,2.97,3.23,9.4,68,5500,31,38,6229
122,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,2.97,3.23,9.4,68,5500,31,38,6692
123,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,2.97,3.23,9.4,68,5500,31,38,7609
124,plymouth valiant,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,3.35,3.46,8.5,88,5000,24,30,8921
125,plymouth duster,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,3.59,3.86,7,145,5000,19,24,12764
126,porsche macan,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,3.94,3.11,9.5,143,5500,19,27,22018
127,porcshce panamera,gas,std,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,3.74,2.9,9.5,207,5900,17,25,32528
128,porsche cayenne,gas,std,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,3.74,2.9,9.5,207,5900,17,25,34028
129,porsche boxter,gas,std,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,six,3.74,2.9,9.5,207,5900,17,25,37028
130,porsche cayenne,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,eight,3.94,3.11,10,288,5750,17,28,31400.5
131,renault 12tl,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,3.46,3.9,8.7,90,5100,23,31,9295
132,renault 5 gtl,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,four,3.46,3.9,8.7,90,5100,23,31,9895
133,saab 99e,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,3.54,3.07,9.31,110,5250,21,28,11850
134,saab 99le,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,3.54,3.07,9.3,110,5250,21,28,12170
135,saab 99le,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,2.54,2.07,9.3,110,5250,21,28,15040
136,saab 99gle,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,3.54,3.07,9.3,110,5250,21,28,15510
137,saab 99gle,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,3.54,3.07,9,160,5500,19,26,18150
138,saab 99e,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,3.54,3.07,9,160,5500,19,26,18620
139,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,3.62,2.36,9,69,4900,31,36,5118
140,subaru dl,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,3.62,2.64,8.7,73,4400,26,31,7053
141,subaru dl,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,3.62,2.64,8.7,73,4400,26,31,7603
142,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,3.62,2.64,9.5,82,4800,32,37,7126
143,subaru brz,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,3.62,2.64,9.5,82,4400,28,33,7775
144,subaru baja,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,3.62,2.64,9,94,5200,26,32,9960
145,subaru r1,gas,std,four,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,four,3.62,2.64,9,82,4800,24,25,9233
146,subaru r2,gas,turbo,four,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,four,3.62,2.64,7.7,111,4800,24,29,11259
147,subaru trezia,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,3.62,2.64,9,82,4800,28,32,7463
148,subaru tribeca,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,3.62,2.64,9,94,5200,25,31,10198
149,subaru dl,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,3.62,2.64,9,82,4800,23,29,8013
150,subaru dl,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,3.62,2.64,7.7,111,4800,23,23,11694
151,toyota corona mark ii,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,3.05,3.03,9,62,4800,35,39,5348
152,toyota corona,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,3.05,3.03,9,62,4800,31,38,6338
153,toyota corolla 1200,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,3.05,3.03,9,62,4800,31,38,6488
154,toyota corona hardtop,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,3.05,3.03,9,62,4800,31,37,6918
155,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,3.05,3.03,9,62,4800,27,32,7898
156,toyota carina,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,3.05,3.03,9,62,4800,27,32,8778
157,toyota mark ii,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,four,3.19,3.03,9,70,4800,30,37,6938
158,toyota corolla 1200,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,3.19,3.03,9,70,4800,30,37,7198
159,toyota corona,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,four,3.27,3.35,22.5,56,4500,34,36,7898
160,toyota corolla,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,3.27,3.35,22.5,56,4500,38,47,7788
161,toyota corona,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,four,3.19,3.03,9,70,4800,38,47,7738
162,toyota corolla,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,3.19,3.03,9,70,4800,28,34,8358
163,toyota mark ii,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,3.19,3.03,9,70,4800,28,34,9258
164,toyota corolla liftback,gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,four,3.19,3.03,9,70,4800,29,34,8058
165,toyota corona,gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,four,3.19,3.03,9,70,4800,29,34,8238
166,toyota celica gt liftback,gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,four,3.24,3.08,9.4,112,6600,26,29,9298
167,toyota corolla tercel,gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,four,3.24,3.08,9.4,112,6600,26,29,9538
168,toyota corona liftback,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,four,3.62,3.5,9.3,116,4800,24,30,8449
169,toyota corolla,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,four,3.62,3.5,9.3,116,4800,24,30,9639
170,toyota starlet,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,four,3.62,3.5,9.3,116,4800,24,30,9989
171,toyota tercel,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,four,3.62,3.5,9.3,116,4800,24,30,11199
172,toyota corolla,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,four,3.62,3.5,9.3,116,4800,24,30,11549
173,toyota cressida,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,four,3.62,3.5,9.3,116,4800,24,30,17669
174,toyota corolla,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,3.31,3.54,8.7,92,4200,29,34,8948
175,toyota celica gt,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,3.27,3.35,22.5,73,4500,30,33,10698
176,toyota corona,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,3.31,3.54,8.7,92,4200,27,32,9988
177,toyota corolla,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,3.31,3.54,8.7,92,4200,27,32,10898
178,toyota mark ii,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,3.31,3.54,8.7,92,4200,27,32,11248
179,toyota corolla liftback,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,six,3.27,3.35,9.3,161,5200,20,24,16558
180,toyota corona,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,six,3.27,3.35,9.3,161,5200,19,24,15998
181,toyota starlet,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,3.27,3.35,9.2,156,5200,20,24,15690
182,toyouta tercel,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,3.27,3.35,9.2,156,5200,19,24,15750
